First Name,Second Name,Common Name,Date of Birth,Nationality,Club,Position,GK,TK,PS,SH,HD,PC,ST,BC,SP,Training
Lorenzo,Insigne,,1991-06-04,Italy,Napoli,ML,18,33,88,62,72,87,82,90,82,8
Marek,Hamšík,,1987-07-27,Slovakia,Napoli,MC,18,33,92,63,82,86,83,91,80,6
Duván Esteban,Zapata Banguera,Duván Zapata,1991-04-01,Colombia,Napoli,AF,16,32,43,82,77,87,82,66,52,8
José María,Callejón Bueno,José Callejón,1987-02-11,Spain,Napoli,AF,18,35,43,88,80,85,85,79,54,6
Gonzalo Gerardo,Higuaín Zacarías,Gonzalo Higuaín,1987-12-10,Argentina,Napoli,AS,20,31,48,95,82,88,83,88,75,6
Andrea,Fulignati,,1994-10-31,Italy,Palermo,GK,80,47,38,30,46,52,60,48,35,10
Achraf,Lazaar,,1992-01-22,Morocco,Palermo,DL,16,80,42,30,73,84,82,57,48,9
Enzo,Maresca,,1980-02-10,Italy,Palermo,MC,19,62,90,31,78,78,83,91,84,2
Robin,Quaison,,1993-10-09,Sweden,Palermo,MC,17,42,84,40,68,92,86,80,60,9
Accursio,Bentivegna,,1996-06-21,Italy,Palermo,MR,15,32,74,42,67,84,79,79,52,10
Édgar,Barreto,,1984-07-15,Paraguay,Palermo,MC,17,52,84,42,78,80,84,77,47,5
Ivaylo,Chochev,,1993-02-18,Bulgaria,Palermo,MC,16,47,83,46,75,82,78,87,77,9
Andrea,Belotti,,1993-12-20,Italy,Palermo,AF,16,30,41,81,73,78,83,82,52,9
Stefano,Sorrentino,,1979-03-28,Italy,Palermo,GK,84,45,39,35,49,59,56,46,38,1
Roberto,Vitiello,,1983-05-08,Italy,Palermo,DR,18,82,37,36,80,80,87,59,48,2
Claudio,Terzi,,1984-06-19,Italy,Palermo,DC,17,81,36,35,82,78,84,58,49,3
Luca,Rigoni,,1984-12-07,Italy,Palermo,MC,19,56,84,50,80,82,87,74,52,4
Siniša,Anđelković,,1986-02-13,Slovenia,Palermo,DC,18,83,42,37,85,80,83,59,48,5
Francesco,Della Rocca,,1987-09-14,Italy,Palermo,MC,17,42,79,36,77,84,79,73,54,6
Giancarlo,González,,1988-02-08,Costa Rica,Palermo,DC,17,80,38,37,77,80,85,59,48,6
Mato,Jajalo,,1988-05-25,Croatia,Palermo,MC,16,43,81,47,76,82,83,75,57,6
Samir,Ujkani,,1988-07-05,Kosovo,Palermo,GK,80,47,42,34,48,52,50,44,35,6
Franco,Vázquez,,1989-02-22,Italy,Palermo,MC,18,43,85,50,75,82,86,85,83,6
Francesco,Bolzoni,,1989-05-07,Italy,Palermo,MC,17,45,81,33,77,82,89,76,52,6
Michel,Morganella,,1989-05-17,Switzerland,Palermo,DR,16,81,47,30,73,80,83,62,49,7
João Pedro,Pereira Silva,João Silva,1990-05-21,Portugal,Palermo,AS,17,33,36,77,82,79,78,64,52,7
Simon,Makienok,,1990-11-21,Denmark,Palermo,AS,16,32,36,78,96,77,85,67,55,8
Fabio,Daprelà,,1991-02-19,Switzerland,Palermo,DL,17,82,37,35,70,85,83,66,53,8
Milan,Milanović,,1991-03-31,Serbia,Palermo,DC,18,79,36,35,79,82,78,54,43,8
Massimo,Gobbi,,1980-10-31,Italy,Parma,DL,17,84,47,31,83,80,85,60,49,2
Antonio,Mirante,,1983-07-08,Italy,Parma,GK,84,47,39,31,48,54,50,44,32,2
McDonald,Mariga Wanyama,McDonald Mariga,1987-04-04,Kenya,Parma,MC,18,50,82,31,80,92,90,58,50,5
Pedro Filipe,Teodósio Mendes,Pedro Mendes,1990-10-01,Portugal,Parma,DC,15,81,43,31,82,88,79,57,48,7
Pavol,Bajza,,1991-09-04,Slovakia,Parma,GK,79,43,38,31,49,53,57,46,34,8
José Agustín,Mauri,José Mauri,1996-05-16,Italy,Parma,MC,16,49,81,32,72,84,82,86,66,9
Lucas,Vieira de Souza,Lucas Souza,1990-07-04,Brazil,Parma,MC,17,50,79,32,83,79,82,62,49,7
Alessandro,Iacobucci,,1991-06-03,Italy,Parma,GK,79,44,38,32,46,52,49,47,34,8
Mattia,Cassani,,1983-08-26,Italy,Parma,DR,18,84,49,34,73,84,80,61,51,3
Andrea,Costa,,1986-02-01,Italy,Parma,DL,17,81,38,35,82,80,87,55,52,4
Fabiano,Santacroce,,1986-08-24,Italy,Parma,DC,18,81,37,35,82,93,87,54,48,4
Giuseppe,Prestia,,1993-11-13,Italy,Parma,DC,15,75,38,36,82,79,85,56,49,8
Alessandro,Lucarelli,,1977-07-22,Italy,Parma,DC,18,84,37,36,90,76,82,58,49,1
Zouhair,Feddal,,1989-01-01,Morocco,Parma,DC,18,82,38,38,79,82,78,60,48,6
Soufiane,Bidaoui,,1990-04-20,Morocco,Parma,ML,16,33,84,40,73,87,82,83,76,8
Daniele,Galloppa,,1985-05-15,Italy,Parma,MC,18,30,81,40,68,84,82,79,83,4
Abdelkader,Ghezzal,,1984-12-05,Algeria,Parma,M,18,31,82,42,70,80,83,80,79,4
Filip,Janković,,1995-01-17,Serbia,Parma,MC,16,32,79,43,68,84,85,83,79,10
Cristóbal,Jorquera,,1988-08-04,Chile,Parma,AF,19,32,83,62,77,86,80,88,80,6
Alberto,Cerri,,1996-04-16,Italy,Parma,AF,15,33,38,77,68,80,82,70,50,10
Nicola,Pozzi,,1986-06-30,Italy,Parma,AF,18,32,39,80,83,78,82,70,66,4
Massimo,Coda,,1988-11-10,Italy,Parma,AF,18,31,40,80,82,77,84,65,60,6
Raffaele,Palladino,,1984-04-17,Italy,Parma,AF,17,33,57,83,80,82,78,72,58,3
Daniele,De Rossi,,1983-07-24,Italy,Roma,MC,20,58,90,30,90,82,92,70,52,3
Bogdan,Lobonț,,1978-01-18,Romania,Roma,GK,80,45,37,31,46,55,57,45,36,1
Leandro,Castán da Silva,Leandro Castán,1986-11-05,Brazil,Roma,DC,18,84,39,32,84,80,90,56,46,5
Łukasz,Skorupski,,1991-05-05,Poland,Roma,GK,83,47,39,32,47,55,58,43,30,8
Vasilis,Torosidis,,1985-06-10,Greece,Roma,DR,19,86,40,32,80,84,88,61,52,4
Ashley,Cole,,1980-12-20,England,Roma,DL,19,90,43,32,85,90,83,68,50,2
Federico,Balzaretti,,1981-12-06,Italy,Roma,DL,18,81,45,32,72,80,88,57,49,2
Morgan,De Sanctis,,1977-03-26,Italy,Roma,GK,87,47,40,33,47,52,58,46,34,1
Gianluca,Curci,,1985-07-12,Italy,Roma,GK,82,47,40,33,47,50,58,46,34,5
Mapou,Yanga-Mbiwa,,1989-05-15,France,Roma,DC,18,86,44,33,82,92,90,63,45,7
Konstantinos,Manolas,,1991-06-14,Greece,Roma,DC,18,88,38,34,87,82,91,60,48,8
Maicon Douglas,Sisenando,Maicon,1981-07-26,Brazil,Roma,DR,20,92,46,34,83,92,85,72,48,2
Kevin,Strootman,,1990-02-13,The Netherlands,Roma,MC,19,53,91,35,80,84,88,83,58,8
José Lloyd,Holebas,José Holebas,1984-06-27,Greece,Roma,DL,18,86,38,36,83,87,80,62,47,4
Seydou,Keita,,1980-01-16,Mali,Roma,MC,19,66,89,40,88,83,92,71,47,1
Miralem,Pjanić,,1990-04-02,Bosnia,Roma,MC,18,38,88,48,78,83,86,81,66,7
Daniele,Verde,,1996-06-20,Italy,Roma,MR,16,30,83,49,69,83,80,82,67,10
Radja,Nainggolan,,1988-05-04,Belgium,Roma,MC,17,45,86,52,68,80,92,77,54,6
Alessandro,Florenzi,,1991-03-11,Italy,Roma,MR,18,44,87,52,74,86,84,87,67,8
Adem,Ljajić,,1991-09-29,Serbia,Roma,ML,17,34,86,58,72,87,82,89,78,9
Juan,Iturbe,,1993-06-04,Argentina,Roma,MR,18,33,91,62,75,87,83,88,79,8
Antonio,Sanabria,,1996-03-04,Paraguay,Roma,AS,16,32,39,84,75,85,80,72,49,10
Gervais,Yao Kouassi,Gervinho,1987-05-27,Ivory Coast,Roma,AF,17,32,47,86,73,93,87,78,53,6
Seydou,Doumbia,,1987-12-31,Ivory Coast,Roma,AF,19,32,55,87,78,94,90,79,50,6
Francesco,Totti,,1976-09-27,Italy,Roma,AF,19,33,70,93,78,72,80,95,93,1
Pedro,Obiang,,1992-03-27,Spain,Sampdoria,MC,16,47,81,31,75,92,90,78,50,8
Alberto,Frison,,1988-01-22,Italy,Sampdoria,GK,86,49,42,31,47,55,59,48,34,7
Marco,Marchionni,,1980-07-22,Italy,Sampdoria,MC,19,53,89,32,76,76,84,82,68,2
Angelo,Palombo,,1981-09-25,Italy,Sampdoria,MC,18,58,87,32,86,78,82,77,59,2
Ezequiel Matías,Muñoz,Ezequiel Muñoz,1990-10-08,Argentina,Sampdoria,DC,17,83,37,32,82,79,87,57,48,7
Samuele,Massolo,,1996-05-04,Italy,Sampdoria,GK,79,46,39,34,47,52,56,47,32,10
Sergio,Romero,,1987-02-22,Argentina,Sampdoria,GK,85,48,40,34,44,57,60,46,37,6
Vasco,Regini,,1990-09-09,Italy,Sampdoria,DL,18,84,38,34,70,85,82,60,52,7
Lorenzo,De Silvestri,,1988-05-23,Italy,Sampdoria,DR,17,84,37,36,80,82,88,58,49,7
Fabrizio,Cacciatore,,1986-10-08,Italy,Sampdoria,D,18,84,38,37,88,76,80,60,52,5
Djamel,Mesbah,,1984-10-09,Algeria,Sampdoria,DL,18,83,47,38,73,83,94,68,49,3
Luca,Rizzo,,1992-02-24,Italy,Sampdoria,M,17,30,80,38,66,82,83,76,72,8
Paweł,Wszołek,,1992-04-30,Poland,Sampdoria,M,16,30,80,39,68,85,81,85,78,8
Joaquín,Correa,Joaquín Correa,1994-08-13,Argentina,Sampdoria,MC,17,32,83,45,68,83,86,82,77,9
Alessandro,De Vitis,,1992-02-15,Italy,Sampdoria,MC,17,44,84,47,70,83,85,79,75,9
Roberto,Soriano,,1991-02-08,Italy,Sampdoria,MC,17,35,88,52,68,84,80,86,57,8
Éder,Citadin Martins,Éder,1986-11-15,Italy,Sampdoria,ML,18,32,87,62,69,88,81,90,82,6
Gonzalo,Bergessio,,1984-07-20,Argentina,Sampdoria,AF,17,32,37,82,82,80,85,75,52,3
Stefano,Okaka,,1989-08-09,Italy,Sampdoria,AF,18,33,40,85,78,92,88,77,58,7
Manolo,Gabbiadini,,1991-11-26,Italy,Sampdoria,AF,18,32,48,88,83,83,85,79,52,8
Raman,Chibsah,,1993-03-10,Ghana,Sassuolo,MC,16,47,82,33,68,80,85,75,54,9
Matteo,Brighi,,1981-02-14,Italy,Sassuolo,MC,18,53,86,33,75,80,83,90,83,2
Paolo,Cannavaro,,1981-06-26,Italy,Sassuolo,DC,18,85,39,36,89,79,84,60,50,2
Paolo,Bianco,,1977-08-20,Italy,Sassuolo,DC,17,80,36,34,79,76,75,59,48,2
Ciro,Polito,,1979-04-12,Italy,Sassuolo,GK,75,43,37,32,47,50,49,45,30,1
Alberto,Pomini,,1981-03-17,Italy,Sassuolo,GK,79,47,40,37,49,55,58,46,35,3
Gianluca,Pegolo,,1981-03-25,Italy,Sassuolo,GK,82,47,36,34,48,59,52,45,32,2
Sergio,Floccari,,1981-11-12,Italy,Sassuolo,AS,18,32,36,80,77,82,74,69,56,2
Davide,Biondini,,1983-01-24,Italy,Sassuolo,MC,18,46,82,40,87,79,87,72,55,3
Antonio,Floro Flores,,1983-06-18,Italy,Sassuolo,AS,17,31,37,81,90,74,79,67,56,3
Federico,Peluso,,1984-01-20,Italy,Sassuolo,DL,18,82,50,37,76,81,77,61,48,4
Francesco,Magnanelli,,1984-11-12,Italy,Sassuolo,MC,19,58,82,40,82,80,89,82,73,5
Marcello,Gazzola,,1985-04-03,Italy,Sassuolo,DR,18,80,47,35,79,79,83,58,54,6
Simone,Missiroli,,1986-05-23,Italy,Sassuolo,MC,17,34,84,52,77,82,88,84,80,6
Andrea,Consigli,,1987-01-27,Italy,Sassuolo,GK,86,48,40,31,47,54,59,46,37,6
Emanuele,Terranova,,1987-04-14,Italy,Sassuolo,DC,17,79,36,32,79,80,76,54,47,6
Francesco,Acerbi,,1988-02-10,Italy,Sassuolo,DC,17,83,40,37,90,78,83,58,50,7
Alessandro,Longhi,,1989-06-25,Italy,Sassuolo,DL,18,80,43,32,75,80,82,58,47,7
Simone,Zaza,,1991-06-25,Italy,Sassuolo,AS,16,31,39,81,75,85,79,71,59,8
Nicola,Sansone,,1991-09-10,Italy,Sassuolo,M,17,35,83,44,68,83,80,85,78,9
Šime,Vrsaljko,,1992-01-10,Croatia,Sassuolo,DR,17,80,49,31,80,89,85,63,50,9
Luca,Antei,,1992-04-19,Italy,Sassuolo,DC,16,78,35,33,77,82,80,57,47,9
Marco,Benassi,,1994-09-08,Italy,Torino,MC,16,47,79,30,68,82,85,79,58,9
Migjen,Basha,,1987-01-05,Albania,Torino,MC,16,48,80,30,77,80,84,76,55,6
Luca,Castellazzi,,1975-07-19,Italy,Torino,GK,82,47,39,32,45,54,50,45,36,1
Cristian,Molinaro,,1983-07-30,Italy,Torino,DL,17,83,50,32,80,80,92,60,49,4
Matteo,Darmian,,1989-12-02,Italy,Torino,DR,17,84,47,33,78,86,90,60,51,7
Pontus,Jansson,,1991-02-13,Sweden,Torino,DC,17,82,40,34,84,80,83,57,49,8
Cesare,Bovo,,1983-01-14,Italy,Torino,DC,18,84,38,34,84,79,80,58,46,3
Daniele,Padelli,,1985-10-25,Italy,Torino,GK,86,47,39,34,47,53,56,45,32,5
Emiliano,Moretti,,1981-06-11,Italy,Torino,DC,18,84,37,35,86,77,79,59,47,2
Gastón Alexis,Silva Perdomo,Gastón Silva,1994-03-05,Uruguay,Torino,DL,16,80,38,36,73,82,83,55,47,9
Bruno,da Silva Peres,Bruno Peres,1990-03-01,Brazil,Torino,DR,18,85,45,36,75,87,82,62,48,7
Salvatore,Masiello,,1982-01-31,Italy,Torino,DL,17,79,46,37,80,82,77,60,52,2
Nikola,Maksimović,,1991-11-25,Serbia,Torino,D,16,80,38,38,79,84,89,58,48,9
Giuseppe,Vives,,1980-07-14,Italy,Torino,MC,18,60,85,40,80,83,87,73,50,2
Kamil,Glik,,1988-02-03,Poland,Torino,DC,17,87,42,40,83,82,86,60,47,6
Alexander,Farnerud,,1984-05-01,Sweden,Torino,MC,18,46,86,42,82,79,88,77,48,4
Alessandro,Gazzi,,1983-01-28,Italy,Torino,MC,17,40,82,42,76,82,80,87,82,3
Paulo Vitor,de Souza Barreto,Barreto,1985-07-12,Brazil,Torino,AF,16,32,46,81,78,82,82,80,68,5
Josef,Martínez,,1993-05-19,Venezuela,Torino,AF,16,31,42,82,68,90,88,77,52,9
Maximilano,Gastón López,Maxi López,1984-04-03,Argentina,Torino,AS,19,33,40,86,76,83,79,82,51,4
Amauri,Carvalho de Oliveira,Amauri,1980-06-03,Italy,Torino,AS,19,37,49,86,92,76,83,75,59,2
Fabio,Quagliarella,,1983-01-31,Italy,Torino,AF,18,34,40,88,88,78,83,79,55,3
Allan,Marques Loureiro,Allan,1991-01-08,Brazil,Udinese,MC,16,48,82,30,79,84,82,82,58,8
Igor,Bubnjić,,1992-07-17,Croatia,Udinese,DC,16,80,40,31,90,79,82,57,50,9
Gabriel Moisés,Antunes da Silva,Gabriel Silva,1991-05-13,Brazil,Udinese,ML,17,47,83,31,69,88,81,90,85,8
Silvan,Widmer,,1993-03-05,Switzerland,Udinese,DR,16,79,45,32,78,79,87,57,48,9
Simone,Scuffet,,1996-05-31,Italy,Udinese,GK,82,47,40,34,48,53,58,47,36,9
Andrea,Coda,,1985-04-25,Italy,Udinese,DC,17,82,40,35,82,77,81,58,50,4
Emmanuel,Agyemang-Badu,Emmanuel Badu,1990-12-02,Ghana,Udinese,MC,17,62,86,37,82,84,88,75,52,7
Alexis,Zapata,,1995-05-10,Colombia,Udinese,ML,15,29,76,38,64,88,79,78,56,9
Guilherme,dos Santos Torres,Guilherme,1991-04-05,Brazil,Udinese,MC,17,55,86,42,72,83,82,82,52,8
Melker,Hallberg,,1995-10-20,Sweden,Udinese,MC,15,31,77,43,66,82,78,83,58,10
Bruno Miguel,Borges Fernandes,Bruno Fernandes,1994-09-08,Portugal,Udinese,M,18,33,85,49,70,85,83,90,84,10
Rodrigo,Aguirre,,1994-10-01,Uruguay,Udinese,AF,16,32,40,79,75,87,82,80,50,10
Luis Fernando,Muriel Fruto,Luis Muriel,1991-04-16,Colombia,Udinese,AF,18,32,58,86,79,82,86,79,70,8
Antonio,Di Natale,,1977-10-13,Italy,Udinese,AF,19,33,47,90,88,80,82,90,78,1
Maurizio,Domizzi,,1980-06-28,Italy,Udinese,DC,17,82,38,32,83,86,78,56,48,2
Giampiero,Pinzi,,1981-03-11,Italy,Udinese,MC,17,42,84,49,73,80,90,67,52,3
Giovanni,Pasquale,,1982-01-05,Italy,Udinese,ML,16,47,83,32,75,82,80,83,77,3
Alexandre,Geijo Pazos,Álex Geijo,1982-09-05,Spain,Udinese,AS,17,32,36,79,82,79,85,70,52,3
Cyril,Théréau,,1983-04-24,France,Udinese,AS,19,35,60,84,80,88,78,67,50,4
Danilo,Larangeira,Danilo,1984-05-10,Brazil,Udinese,DC,18,85,43,37,84,80,83,61,50,5
Orestis,Karnezis,,1985-07-11,Greece,Udinese,GK,83,46,41,34,48,56,53,45,32,5
Panagiotis,Kone,,1987-07-26,Greece,Udinese,MC,16,31,79,52,74,83,82,78,53,6
Thomas,Heurtaux,,1988-07-03,France,Udinese,DC,17,84,40,36,88,78,78,57,46,7
Ivan,Martić,,1990-10-02,Bosnia,Verona,DR,17,84,47,30,77,82,91,58,50,7
Rafael,Márquez Álvarez,Rafael Márquez,1979-02-13,Mexico,Verona,DC,20,90,48,31,92,82,95,63,51,2
Pierluigi,Gollini,,1995-03-18,Italy,Verona,GK,81,45,38,32,50,56,60,45,32,10
Jacopo,Sala,,1991-12-05,Italy,Verona,MC,16,47,80,34,73,83,90,77,48,9
Luca,Checchin,,1997-05-03,Italy,Verona,MC,15,31,77,35,66,84,81,78,52,10
Artur,Ioniță,,1990-08-17,Moldova,Verona,MC,16,43,82,39,73,82,86,69,51,7
Mohamed,Fares,,1996-02-15,Algeria,Verona,AF,16,30,38,76,72,80,78,68,46,9
Pierluigi,Cappelluzzo,,1996-06-09,Italy,Verona,AF,16,32,38,79,70,82,80,67,46,10
Javier Pedro,Saviola Fernández,Javier Saviola,1981-12-11,Argentina,Verona,AF,18,33,47,89,77,82,80,86,68,3
Luca,Toni,,1977-05-26,Italy,Verona,AS,19,34,46,91,86,79,82,91,81,1
Alessandro,Agostini,,1979-07-23,Italy,Verona,DL,18,81,36,35,74,78,88,60,55,1
Vangelis,Moras,,1981-08-26,Greece,Verona,DC,18,84,37,35,86,77,82,57,49,2
Francesco,Benussi,,1981-10-15,Italy,Verona,GK,82,45,37,33,48,48,52,46,33,2
Rafael,de Andrade Bittencourt Pinheiro,Rafael,1982-03-03,Brazil,Verona,GK,82,48,39,33,47,53,58,46,37,2
Rafael,Marques,,1983-09-21,Brazil,Verona,DC,18,80,34,33,80,78,84,60,52,4
Boško,Janković,,1984-03-01,Serbia,Verona,M,17,32,82,40,69,80,76,73,49,5
Guillermo Daniel,Rodríguez Pérez,Guillermo Rodríguez,1984-03-21,Uruguay,Verona,DC,18,79,37,33,83,75,79,57,48,5
Emil,Hallfreðsson,,1984-06-29,Iceland,Verona,MC,17,31,81,48,72,80,86,77,58,5
Juan Ignacio,Gomez Taleb,Juan Gómez,1985-05-20,Argentina,Verona,M,18,32,84,58,77,84,81,82,75,5
Leandro,Greco,,1986-07-19,Italy,Verona,MC,18,41,80,38,82,77,83,68,49,5
Lazaros,Christodoulopoulos,,1986-12-19,Greece,Verona,MC,19,33,82,50,78,85,86,78,73,6
